Text,Word Number,Line Start,Line End,Normalized,Language,Number
zoor0177.xml,1,1,1,μνημεῖον,grc,0
zoor0177.xml,2,1,1,πέτρου,grc,0
zoor0177.xml,3,2,2,γαλαέου,grc,0
zoor0177.xml,4,2,2,ἀποθα,grc,0
zoor0177.xml,5,3,3,νόντος,grc,0
zoor0177.xml,6,3,3,ἐτῶν,grc,0
zoor0177.xml,7,3,3,κζʹ,grc,0
zoor0177.xml,8,4,4,ἐν,grc,0
zoor0177.xml,9,4,4,μηνὶ,grc,0
zoor0177.xml,10,4,4,ὑπερβερεταίου,grc,0
zoor0177.xml,11,4,4,ακʹ,grc,0
zoor0177.xml,12,4,4,τοῦ,grc,0
zoor0177.xml,13,4,4,ἔ,grc,0
zoor0177.xml,14,5,5,τους,grc,0
zoor0177.xml,15,5,5,τλθʹ,grc,0
zoor0177.xml,16,5,5,ἡμέρᾳ,grc,0
zoor0177.xml,17,6,6,κυρίου,grc,0
zoor0177.xml,18,7,7,βʹ,grc,0
zoor0177.xml,19,7,7,θάρσει,grc,0
zoor0177.xml,20,7,7,οὐδεὶς,grc,0
zoor0177.xml,21,8,8,ἀθάνατος,grc,0
