Text,Word Number,Line Start,Line End,Normalized,Language,Number
hamm0050.xml,1,1,1,ὃν,grc,0
hamm0050.xml,2,1,1,χρόνος,grc,0
hamm0050.xml,3,1,1,ἠμάλδθνεν,grc,0
hamm0050.xml,4,1,2,ἑλισσόμενος,grc,0
hamm0050.xml,5,2,2,κατὰ,grc,0
hamm0050.xml,6,2,2,κύκλον,grc,0
hamm0050.xml,7,3,3,στῆσεν,grc,0
hamm0050.xml,8,3,3,ἀναστάσιος,grc,0
hamm0050.xml,9,3,4,βασιλεὺς,grc,0
hamm0050.xml,10,4,4,μεγαλώνυμος,grc,0
hamm0050.xml,11,4,4,ἥρως,grc,0
hamm0050.xml,12,5,5,σπουδῇ,grc,0
hamm0050.xml,13,5,5,ἀλεξάνδροιο,grc,0
hamm0050.xml,14,5,6,περίφρονος,grc,0
hamm0050.xml,15,6,6,ἡγεμονῆος,grc,0
hamm0050.xml,16,7,7,καισαρίης,grc,0
hamm0050.xml,17,7,7,ναετῆρος,grc,0
hamm0050.xml,18,7,8,ὃς,grc,0
hamm0050.xml,19,8,8,ἔλλαχεν,grc,0
hamm0050.xml,20,8,8,ἥνια,grc,0
hamm0050.xml,21,8,8,νύσης,grc,0
