Text,Word Number,Line Start,Line End,Normalized,Language,Number
ulat0001.xml,1,1,1,κλητιανὸς,grc,0
ulat0001.xml,2,1,1,και,grc,0
ulat0001.xml,3,2,2,μαξιμιανὸς,grc,0
ulat0001.xml,4,2,2,σεβαστοὶ,grc,0
ulat0001.xml,5,3,3,κωνστάντιος,grc,0
ulat0001.xml,6,3,3,καὶ,grc,0
ulat0001.xml,7,4,4,μαξιμιανὸς,grc,0
ulat0001.xml,8,4,4,καί,grc,0
ulat0001.xml,9,5,5,σαρες,grc,0
ulat0001.xml,10,6,6,λίθον,grc,0
ulat0001.xml,11,6,6,διορίζοντα,grc,0
ulat0001.xml,12,7,7,ἀγροὺς,grc,0
ulat0001.xml,13,7,7,κωμῶν,grc,0
ulat0001.xml,14,7,7,γαλα,grc,0
ulat0001.xml,15,8,8,νιας,grc,0
ulat0001.xml,16,8,8,καὶ,grc,0
ulat0001.xml,17,8,8,μιγηρα,grc,0
ulat0001.xml,18,9,9,μης,grc,0
ulat0001.xml,19,9,9,στηριχθῆνε,grc,0
ulat0001.xml,20,10,10,ἐκέλευσαν,grc,0
ulat0001.xml,21,10,10,φροντί,grc,0
ulat0001.xml,22,11,11,δι,grc,0
ulat0001.xml,23,11,11,αἰλίου,grc,0
ulat0001.xml,24,11,11,στατούτου,grc,0
ulat0001.xml,25,12,12,τοῦ,grc,0
ulat0001.xml,26,12,12,διασημοτάτου,grc,0
