Text,Word Number,Line Start,Line End,Normalized,Language,Number
hraq0001.xml,1,2,2,אי,arc,0
hraq0001.xml,2,2,2,ה,arc,0
hraq0001.xml,3,2,2,רוחא,arc,0
hraq0001.xml,4,2,2,יחבורא,arc,0
hraq0001.xml,5,2,2,יחנונא,arc,0
hraq0001.xml,6,3,3,אניה,arc,0
hraq0001.xml,7,3,3,אעתריא,arc,0
hraq0001.xml,8,3,3,ידע,arc,0
hraq0001.xml,9,3,3,די,arc,0
hraq0001.xml,10,3,3,כא,arc,0
hraq0001.xml,11,3,3,שררנא,arc,0
hraq0001.xml,12,4,4,ערב,arc,0
hraq0001.xml,13,4,4,עלא,arc,0
hraq0001.xml,14,4,4,בגפין,arc,0
hraq0001.xml,15,4,4,חמנא,arc,0
hraq0001.xml,16,4,4,ברר,arc,0
hraq0001.xml,17,4,4,לתא,arc,0
hraq0001.xml,18,4,4,אלה,arc,0
hraq0001.xml,19,5,5,נשו,arc,0
hraq0001.xml,20,5,5,ופיא,arc,0
hraq0001.xml,21,5,5,עם,arc,0
hraq0001.xml,22,5,5,שרצת,arc,0
hraq0001.xml,23,5,5,בתלתא,arc,0
hraq0001.xml,24,5,5,והצנא,arc,0
hraq0001.xml,25,6,6,ואלה,arc,0
hraq0001.xml,26,6,6,אלה,arc,0
hraq0001.xml,27,6,6,פשרתא,arc,0
hraq0001.xml,28,6,6,תנשר,arc,0
hraq0001.xml,29,6,6,ברתאל,arc,0
hraq0001.xml,30,7,7,תפשר,arc,0
hraq0001.xml,31,7,7,ברת,arc,0
hraq0001.xml,32,7,7,תנשר,arc,0
hraq0001.xml,33,7,7,אעצץ,arc,0
hraq0001.xml,34,7,7,בר,arc,0
hraq0001.xml,35,7,7,שמש,arc,0
hraq0001.xml,36,8,8,חרגל,arc,0
hraq0001.xml,37,8,8,ברתל,arc,0
hraq0001.xml,38,8,8,שבטבטא,arc,0
hraq0001.xml,39,8,8,ברתאל,arc,0
hraq0001.xml,40,8,8,צלמניתא,arc,0
hraq0001.xml,41,9,9,שרא,arc,0
hraq0001.xml,42,9,9,שרא,arc,0
hraq0001.xml,43,9,9,גבר,arc,0
hraq0001.xml,44,9,9,אפשר,arc,0
hraq0001.xml,45,9,9,צן,arc,0
hraq0001.xml,46,9,9,אנתה,arc,0
hraq0001.xml,47,10,10,ברר,arc,0
hraq0001.xml,48,10,10,לה,arc,0
hraq0001.xml,49,10,10,בטוטא,arc,0
