,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,jeru0172.xml,1,1,1,מרי,grc,0,,,,
1,jeru0172.xml,2,1,1,קבר,grc,0,,,,
2,jeru0172.xml,3,2,2,μαθία,grc,0,,,,
3,jeru0172.xml,4,2,2,καὶ,grc,0,,,,
4,jeru0172.xml,5,2,2,σίμων,grc,0,,,,
5,jeru0172.xml,6,3,3,ἀδαλφοὺ,grc,0,,,,
6,jeru0172.xml,7,3,3,ὑοὺ,grc,0,,,,
7,jeru0172.xml,8,3,3,ἰαιερε,grc,0,,,,
8,jeru0172.xml,9,4,4,κυρε,grc,0,,,,
9,jeru0172.xml,10,4,4,τυς,grc,0,,,,
10,jeru0172.xml,11,4,4,τουπου,grc,0,,,,
