,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,idum0171.xml,1,1,1,קוסעי,arc,0,,,,
1,idum0171.xml,2,1,1,דר,arc,0,,,,
2,idum0171.xml,3,1,1,מן,arc,0,,,,
3,idum0171.xml,4,1,1,בני,arc,0,,,,
4,idum0171.xml,5,2,2,עלבעל,arc,0,,,,
5,idum0171.xml,6,2,2,תבן,arc,0,,,,
6,idum0171.xml,7,3,3,משתלין,arc,0,,,,
7,idum0171.xml,8,3,3,4,arc,0,,,,
8,idum0171.xml,9,4,4,עליד,arc,0,,,,
9,idum0171.xml,10,4,4,קוסמלך,arc,0,,,,
