,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,tibe0010.xml,1,1,1,צפוריה,arc,0,,,,,
1,1,tibe0010.xml,2,1,1,זית,arc,0,,,,,
2,2,tibe0010.xml,3,1,1,תלתין,arc,0,,,,,
3,3,tibe0010.xml,4,1,1,בת,arc,0,,,,,
4,4,tibe0010.xml,5,1,1,פוגל,arc,0,,,,,
5,5,tibe0010.xml,6,1,1,ר,arc,0,,,,,
6,6,tibe0010.xml,7,1,1,דרהמין,arc,0,,,,,
7,7,tibe0010.xml,8,1,1,דאיק,arc,0,,,,,
8,8,tibe0010.xml,9,2,2,בן,arc,0,,,,,
9,9,tibe0010.xml,10,3,3,יתום,arc,0,,,,,
10,10,tibe0010.xml,11,4,4,בן,arc,0,,,,,
11,11,tibe0010.xml,12,4,4,עבוד,arc,0,,,,,
