,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,jeri0015.xml,1,1,1,σελαμσιοῦς,arc,0,,,,,
1,1,jeri0015.xml,2,1,1,μητρὸς,arc,0,,,,,
2,2,jeri0015.xml,3,1,1,ἰωέζρου,arc,0,,,,,
3,3,jeri0015.xml,4,1,1,γολιάθου,arc,0,,,,,
4,4,jeri0015.xml,5,2,2,שלמשיון,arc,0,,,,,
5,5,jeri0015.xml,6,2,2,המא,arc,0,,,,,
6,6,jeri0015.xml,7,2,2,די,arc,0,,,,,
7,7,jeri0015.xml,8,2,2,יהועזר,arc,0,,,,,
8,8,jeri0015.xml,9,2,2,גלית,arc,0,,,,,
9,9,jeri0015.xml,10,3,3,σελαμσιοῦς,arc,0,,,,,
10,10,jeri0015.xml,11,3,3,μητρὸς,arc,0,,,,,
11,11,jeri0015.xml,12,3,3,ἰοέζρου,arc,0,,,,,
12,12,jeri0015.xml,13,3,3,γολιάθου,arc,0,,,,,
