,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,idum0449.xml,1,1,1,ב,arc,0,,,,,
1,1,idum0449.xml,2,1,1,לסיון,arc,0,,,,,
2,2,idum0449.xml,3,1,1,שנת,arc,0,,,,,
3,3,idum0449.xml,4,2,2,עבדאדה,arc,0,,,,,
4,4,idum0449.xml,5,2,2,בר,arc,0,,,,,
5,5,idum0449.xml,6,2,2,עי,arc,0,,,,,
6,6,idum0449.xml,7,2,2,דר,arc,0,,,,,
7,7,idum0449.xml,8,2,2,ן,arc,0,,,,,
8,8,idum0449.xml,9,3,3,למסכנת,arc,0,,,,,
9,9,idum0449.xml,10,3,3,מנקדה,arc,0,,,,,
10,10,idum0449.xml,11,4,4,שס,arc,0,,,,,
11,11,idum0449.xml,12,4,4,ק,arc,0,,,,,
12,12,idum0449.xml,13,4,4,ר,arc,0,,,,,
