,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,bshe0015.xml,1,1,1,ἐκ,grc,0,,,,,
1,1,bshe0015.xml,2,1,1,τῆς,grc,0,,,,,
2,2,bshe0015.xml,3,1,1,δοθείσης,grc,0,,,,,
3,3,bshe0015.xml,4,1,1,θε,grc,0,,,,,
4,4,bshe0015.xml,5,1,1,ίας,grc,0,,,,,
5,5,bshe0015.xml,6,2,2,φιλοτιμίας,grc,0,,,,,
6,6,bshe0015.xml,7,2,2,κατὰ,grc,0,,,,,
7,7,bshe0015.xml,8,2,2,αἴτη-,grc,0,,,,,
8,8,bshe0015.xml,9,3,3,σιν,grc,0,,,,,
9,9,bshe0015.xml,10,3,3,φλαουίου,grc,0,,,,,
10,10,bshe0015.xml,11,3,3,ἀρσενίου,grc,0,,,,,
11,11,bshe0015.xml,12,3,3,τοῦ,grc,0,,,,,
12,12,bshe0015.xml,13,3,3,ἐνδοξοτάτου,grc,0,,,,,
13,13,bshe0015.xml,14,4,4,τὸ,grc,0,,,,,
14,14,bshe0015.xml,15,4,4,πᾶν,grc,0,,,,,
15,15,bshe0015.xml,16,4,4,ἔργον,grc,0,,,,,
16,16,bshe0015.xml,17,4,4,τοῦ,grc,0,,,,,
17,17,bshe0015.xml,18,4,4,τε,grc,0,,,,,
18,18,bshe0015.xml,19,4,4,ίχους,grc,0,,,,,
19,19,bshe0015.xml,20,5,5,ἀνενεώθη,grc,0,,,,,
20,20,bshe0015.xml,21,5,5,ἐν,grc,0,,,,,
21,21,bshe0015.xml,22,5,5,χρόνοις,grc,0,,,,,
22,22,bshe0015.xml,23,5,5,φλαουίου,grc,0,,,,,
23,23,bshe0015.xml,24,5,5,λέοντος,grc,0,,,,,
24,24,bshe0015.xml,25,6,6,τοῦ,grc,0,,,,,
25,25,bshe0015.xml,26,6,6,μεγαλοπρεπεστάτου,grc,0,,,,,
26,26,bshe0015.xml,27,6,6,ἄρχοντος,grc,0,,,,,
27,27,bshe0015.xml,28,6,6,ἰνδικτιῶνος,grc,0,,,,,
28,28,bshe0015.xml,29,6,6,δ,grc,0,,,,,
